id,faithfulness_score,answer_relevancy_score
140420,0.2334347367286682,0.6577233672142029
237864,0.31116315722465515,0.8992851972579956
181753,0.30597156286239624,0.6041166186332703
252219,0.24889235198497772,0.6646508574485779
108440,0.2592644691467285,0.7643339037895203
224337,0.3127506971359253,0.6283580660820007
499109,0.29177120327949524,0.8625025749206543
28285,0.27815091609954834,0.7349755764007568
454750,0.3095109760761261,0.5892236232757568
412240,0.320053368806839,0.8218108415603638
441286,0.27869585156440735,0.6884615421295166
568213,0.2520810663700104,0.4869142472743988
414034,0.2899273931980133,0.8960376977920532
459634,0.23397186398506165,0.6956879496574402
66635,0.2722765803337097,0.7286715507507324
343706,0.3842344284057617,0.9391574859619141
357238,0.26931798458099365,0.7003954648971558
553664,0.2823641896247864,0.41240009665489197
258388,0.31719404458999634,0.6450839638710022
222094,0.329965740442276,0.6908954977989197
281179,0.25778985023498535,0.44738006591796875
260106,0.2814440131187439,0.7002237439155579
162543,0.3466203808784485,0.4645021855831146
366199,0.3015875518321991,0.8726356029510498
329323,0.22121474146842957,0.6413135528564453
157601,0.2976698875427246,0.5726466178894043
447314,0.21964600682258606,0.556205153465271
489764,0.23383991420269012,0.8250242471694946
1818,0.3284321427345276,0.6498232483863831
368982,0.2653806209564209,0.6113193035125732
550349,0.3396851718425751,0.83115154504776
112110,0.23708070814609528,0.659813642501831
532129,0.3117004632949829,0.907242476940155
220732,0.2685675024986267,0.7036565542221069
275749,0.3282868564128876,0.7958385944366455
176778,0.25064390897750854,0.8463969826698303
407083,0.23464642465114594,0.8258630633354187
215723,0.3487347364425659,0.4981669485569
509719,0.3154389262199402,0.7608240842819214
3845,0.3111019730567932,0.943179726600647
2153,0.18377095460891724,0.5723922848701477
541773,0.30231034755706787,0.6938448548316956
161128,0.3080011010169983,0.681706428527832
186938,0.27299970388412476,0.7875495553016663
33759,0.27318352460861206,0.6922519207000732
309678,0.271248996257782,0.6752730011940002
29397,0.2211872935295105,0.5475415587425232
61471,0.27679502964019775,0.6629607677459717
7888,0.25697648525238037,0.3532679080963135
161642,0.2903363108634949,0.5413652658462524
127517,0.27198415994644165,0.7822372317314148
217614,0.3495604693889618,0.8078388571739197
137950,0.27481281757354736,0.5972590446472168
186345,0.2749871611595154,0.47039371728897095
573258,0.1888933777809143,0.6963306665420532
400082,0.22971674799919128,0.5975850820541382
537241,0.3171989619731903,0.7738077640533447
103723,0.2985877990722656,0.9726950526237488
350122,0.18760180473327637,0.49969497323036194
293474,0.36946141719818115,0.6318974494934082
