id,em,sm,f1,faithfulness_score,answer_relevancy_score
293832,1,1,1.0,0.2932039499282837,0.8999767303466797
129592,1,1,1.0,0.3807867765426636,0.7478483319282532
13729,1,1,1.0,0.20886573195457458,0.6250548362731934
379086,1,1,1.0,0.20096294581890106,0.5213160514831543
96618,1,1,1.0,0.2946164011955261,0.7399156093597412
28682,1,1,1.0,0.2470705807209015,0.5457669496536255
137727,1,1,1.0,0.312828004360199,0.72086101770401
381842,1,1,1.0,0.3093447685241699,0.6568434834480286
449522,1,1,1.0,0.26255643367767334,0.7746933102607727
304186,1,1,1.0,0.2845143675804138,0.8396364450454712
458467,1,1,1.0,0.21773719787597656,0.7035596370697021
503978,1,1,1.0,0.27565354108810425,0.6653103828430176
121849,1,1,1.0,0.3072000741958618,0.9224339723587036
499281,0,0,0.5,0.30072686076164246,0.5408049821853638
155897,1,1,1.0,0.24800553917884827,0.5141414403915405
180739,0,0,0.0,0.24605438113212585,0.7746565937995911
57760,1,1,1.0,0.21607214212417603,0.5524814128875732
422383,1,1,1.0,0.18621200323104858,0.6201252937316895
425898,0,0,0.0,0.2523343563079834,0.5707027316093445
74037,1,1,1.0,0.25547322630882263,0.5214418172836304
342100,1,1,1.0,0.3046244978904724,0.40177589654922485
404462,1,1,1.0,0.23485217988491058,0.5349938273429871
131152,1,1,1.0,0.22223930060863495,0.8007566928863525
363241,1,1,1.0,0.23492752015590668,0.48136836290359497
436865,1,1,1.0,0.24532891809940338,0.5472395420074463
438269,1,1,1.0,0.24969258904457092,0.756862223148346
180521,1,1,1.0,0.21767975389957428,0.7107048034667969
228344,1,1,1.0,0.21073220670223236,0.8678743839263916
341678,1,1,1.0,0.25364693999290466,0.7746677994728088
525369,1,1,1.0,0.20866283774375916,0.5769217014312744
207611,1,1,1.0,0.21758417785167694,0.4421170651912689
299970,1,1,1.0,0.276425838470459,0.7668418884277344
236925,0,0,0.0,0.23750953376293182,0.6575756072998047
341309,1,1,1.0,0.1722646951675415,0.5419366955757141
437117,1,1,1.0,0.2170877754688263,0.731689989566803
212739,1,1,1.0,0.2360215187072754,0.55329829454422
83736,1,1,1.0,0.27674180269241333,0.751125156879425
512869,1,1,1.0,0.23034366965293884,0.753462553024292
168583,1,1,1.0,0.23439475893974304,0.7885083556175232
451308,1,1,1.0,0.3230149745941162,0.5460407733917236
432234,1,1,1.0,0.27997779846191406,0.7921932935714722
485909,1,1,1.0,0.17891284823417664,0.6220771074295044
556758,1,1,1.0,0.27122390270233154,0.8753153085708618
274272,1,1,1.0,0.3486097455024719,0.6288581490516663
408039,1,1,1.0,0.24614623188972473,0.5129867196083069
90640,1,1,1.0,0.23008859157562256,0.6100092530250549
388770,1,1,1.0,0.24432788789272308,0.5339972376823425
48739,1,1,1.0,0.2262808084487915,0.7929104566574097
287570,1,1,1.0,0.2935330867767334,0.9389684200286865
75426,1,1,1.0,0.16921937465667725,0.5034175515174866
533311,1,1,1.0,0.23966272175312042,0.6666467785835266
203372,0,1,0.5,0.21394163370132446,0.6667889952659607
172979,1,1,1.0,0.21608485281467438,0.4405515193939209
90284,1,1,1.0,0.2102494239807129,0.6760920286178589
547630,0,1,0.6666666666666666,0.19089551270008087,0.6361505389213562
77924,0,0,0.0,0.3099091649055481,0.8669782280921936
529528,0,0,0.0,0.3035775423049927,0.7253979444503784
80053,1,1,1.0,0.19306030869483948,0.5699905753135681
550529,1,1,1.0,0.2641078531742096,0.8892514109611511
123017,1,1,1.0,0.21960683166980743,0.43680956959724426
